Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,0.019484,0.019997,0.018212,0.019222,0.019222,9385156
2021-04-06,0.019259,0.020311,0.018433,0.020158,0.020158,9796126
2021-04-07,0.020146,0.021967,0.019459,0.020419,0.020419,10990959
2021-04-08,0.020369,0.022023,0.019257,0.021546,0.021546,11634634
2021-04-09,0.021548,0.022546,0.020056,0.021208,0.021208,11273825
2021-04-10,0.021211,0.022854,0.018289,0.018967,0.018967,14040740
2021-04-11,0.018969,0.020502,0.018617,0.019913,0.019913,12368163
2021-04-12,0.019912,0.020635,0.019225,0.019398,0.019398,10811753
2021-04-13,0.019418,0.020411,0.018291,0.018598,0.018598,10829346
2021-04-14,0.018603,0.019007,0.017374,0.018342,0.018342,12259348
2021-04-15,0.018351,0.021138,0.018234,0.018933,0.018933,10476937
2021-04-16,0.018939,0.019367,0.016903,0.018997,0.018997,11692396
2021-04-17,0.018979,0.019165,0.017128,0.017996,0.017996,10020635
2021-04-18,0.017984,0.020049,0.015490,0.020000,0.020000,8892756
2021-04-19,0.020002,0.020706,0.015832,0.016401,0.016401,9004828
2021-04-20,0.016395,0.018575,0.015004,0.016908,0.016908,8451985
2021-04-21,0.016928,0.017399,0.015736,0.016718,0.016718,8383356
2021-04-22,0.016722,0.017865,0.015767,0.017648,0.017648,8865321
2021-04-23,0.017636,0.017753,0.014075,0.015914,0.015914,8414361
2021-04-24,0.015927,0.016949,0.015262,0.015975,0.015975,7687279
2021-04-25,0.015972,0.016148,0.015137,0.015590,0.015590,8432915
2021-04-26,0.015591,0.015958,0.014691,0.015749,0.015749,7807665
2021-04-27,0.015753,0.016190,0.013578,0.014382,0.014382,8990784
2021-04-28,0.014396,0.016748,0.013494,0.016174,0.016174,7569217
2021-04-29,0.016178,0.016960,0.014660,0.016307,0.016307,10280070
2021-04-30,0.016301,0.017980,0.014096,0.017670,0.017670,9961685
2021-05-01,0.017663,0.020364,0.016695,0.020189,0.020189,11658922
2021-05-02,0.020191,0.021755,0.018688,0.020040,0.020040,12536090
2021-05-03,0.020148,0.021760,0.018916,0.021576,0.021576,11681114
2021-05-04,0.021589,0.024512,0.020646,0.023801,0.023801,13622553
2021-05-05,0.023819,0.030398,0.023684,0.029162,0.029162,20605585
2021-05-06,0.029156,0.030197,0.025822,0.026092,0.026092,16091483
2021-05-07,0.026100,0.033982,0.025758,0.031143,0.031143,23043750
2021-05-08,0.031150,0.034618,0.030863,0.033631,0.033631,16949118
2021-05-09,0.033659,0.039173,0.028793,0.039008,0.039008,19792258
2021-05-10,0.039031,0.048225,0.037920,0.045383,0.045383,27580674
2021-05-11,0.045441,0.051402,0.040319,0.049872,0.049872,27803557
2021-05-12,0.049870,0.063586,0.048671,0.054662,0.054662,29368459
2021-05-13,0.053944,0.082345,0.053151,0.064364,0.064364,36477929
2021-05-14,0.064377,0.069653,0.056689,0.060671,0.060671,36392415
2021-05-15,0.060655,0.063005,0.043743,0.053166,0.053166,32274104
2021-05-16,0.053124,0.056664,0.044073,0.054576,0.054576,29457195
2021-05-17,0.054563,0.055316,0.045897,0.049073,0.049073,25155529
2021-05-18,0.049232,0.054940,0.046803,0.054444,0.054444,23778722
2021-05-19,0.054356,0.059058,0.039608,0.040934,0.040934,21700611
2021-05-20,0.040800,0.053040,0.038949,0.047362,0.047362,20844454
2021-05-21,0.047460,0.057202,0.045111,0.049027,0.049027,16660198
2021-05-22,0.049128,0.049678,0.044643,0.046683,0.046683,24037990
2021-05-23,0.046699,0.048661,0.033745,0.040014,0.040014,24484534
2021-05-24,0.039960,0.046628,0.039224,0.045629,0.045629,24377976
2021-05-25,0.045780,0.049275,0.043057,0.048997,0.048997,24885666
2021-05-26,0.049107,0.061269,0.048594,0.056139,0.056139,29484933
2021-05-27,0.056111,0.064823,0.053489,0.062533,0.062533,22972397
2021-05-28,0.062554,0.064810,0.055697,0.059215,0.059215,27553444
2021-05-29,0.059233,0.060661,0.048762,0.053971,0.053971,24467050
2021-05-30,0.054021,0.056733,0.050814,0.053939,0.053939,26095788
2021-05-31,0.053911,0.054580,0.046438,0.052312,0.052312,25124450
2021-06-01,0.052338,0.054989,0.050614,0.054346,0.054346,24998248
2021-06-02,0.054372,0.055934,0.052340,0.055444,0.055444,25733613
2021-06-03,0.055430,0.056039,0.051928,0.054931,0.054931,27404856
2021-06-04,0.054978,0.060642,0.051491,0.060161,0.060161,27852045
2021-06-05,0.060114,0.060810,0.055967,0.057680,0.057680,25191496
2021-06-06,0.057681,0.060828,0.057487,0.059683,0.059683,27831208
2021-06-07,0.059697,0.061653,0.056424,0.056974,0.056974,25485215
2021-06-08,0.057019,0.060767,0.053840,0.059959,0.059959,26832803
2021-06-09,0.059857,0.069326,0.055461,0.065541,0.065541,38192156
2021-06-10,0.065674,0.072808,0.063921,0.072084,0.072084,33285420
2021-06-11,0.072094,0.079813,0.068013,0.079011,0.079011,36033939
2021-06-12,0.079128,0.093927,0.071326,0.081757,0.081757,44399975
2021-06-13,0.081837,0.086565,0.075484,0.085034,0.085034,46074743
2021-06-14,0.085048,0.096085,0.080506,0.087623,0.087623,48615532
2021-06-15,0.091123,0.095299,0.081856,0.093731,0.093731,52256017
2021-06-16,0.090807,0.091404,0.074448,0.082182,0.082182,44012914
2021-06-17,0.082200,0.090974,0.073622,0.090824,0.090824,32314962
2021-06-18,0.090927,0.100730,0.084298,0.096908,0.096908,41672247
2021-06-19,0.096925,0.105967,0.089743,0.095257,0.095257,39169482
2021-06-20,0.095193,0.095489,0.085802,0.093131,0.093131,37386883
2021-06-21,0.092926,0.093446,0.077484,0.079375,0.079375,39390106
2021-06-22,0.079373,0.085489,0.066049,0.079045,0.079045,36622699
2021-06-23,0.079146,0.083779,0.077247,0.081411,0.081411,31183663
2021-06-24,0.080251,0.080892,0.069797,0.078349,0.078349,31569967
2021-06-25,0.078327,0.080494,0.071542,0.074589,0.074589,28178454
2021-06-26,0.074559,0.075706,0.066797,0.069446,0.069446,27990033
2021-06-27,0.069624,0.075786,0.068979,0.075585,0.075585,27898997
2021-06-28,0.075681,0.083567,0.074354,0.080862,0.080862,32066597
2021-06-29,0.080817,0.085947,0.080708,0.083535,0.083535,31856497
2021-06-30,0.083406,0.084660,0.079729,0.084005,0.084005,32091910
2021-07-01,0.084027,0.084027,0.075210,0.075480,0.075480,33059826
2021-07-02,0.075556,0.080221,0.073037,0.080133,0.080133,30236691
2021-07-03,0.080129,0.085544,0.078058,0.085534,0.085534,28382513
2021-07-04,0.085531,0.090577,0.080265,0.087942,0.087942,38207871
2021-07-05,0.087962,0.089557,0.075530,0.086707,0.086707,27771868
2021-07-06,0.086521,0.089575,0.081315,0.085603,0.085603,42660855
2021-07-07,0.085659,0.089145,0.082647,0.084688,0.084688,44660726
2021-07-08,0.084811,0.086024,0.077652,0.082328,0.082328,49078971
2021-07-09,0.082404,0.085851,0.077716,0.084257,0.084257,47300789
2021-07-10,0.084104,0.085565,0.082004,0.084081,0.084081,41417583
2021-07-11,0.084121,0.087615,0.083749,0.086926,0.086926,39849926
2021-07-12,0.086937,0.087542,0.082960,0.086475,0.086475,37083549
